"","Estimate","Std. Error","t value"
"(Intercept)",1.7,0.12,14.38
"font_size1",0.18,0.01,12.38
"line_len1",0.47,0.03,13.84
"launchSiteVA_C",-0.06,0.02,-3.86
"font_size1:line_len1",0.01,0.01,0.5
"font_size1:launchSiteVA_C",0.02,0.01,1.63
"line_len1:launchSiteVA_C",0,0.02,-0.15
"font_size1:line_len1:launchSiteVA_C",0.04,0.02,2.46
