"";"sub";"item";"cond";"seq";"dependnum";"start";"end";"duration_ms";"correctresp";"subresp";"accuracy"
"93";3;3;1;13;1;6416560;6419490;2930;1;1;1
"94";3;7;1;14;1;6425525;6428156;2631;1;1;1
"95";3;35;1;15;1;6435822;6438049;2227;0;0;1
"96";3;25;3;16;1;6460877;6465547;4670;0;0;1
"97";3;17;3;17;1;6474560;6476820;2260;1;1;1
"98";3;39;1;18;1;6538126;6540647;2521;0;0;1
"99";3;19;1;19;1;6550208;6552823;2615;1;1;1
"100";3;23;1;20;1;6619088;6621180;2092;0;0;1
"101";3;10;4;21;1;6647650;6651560;3910;1;1;1
"102";3;36;2;22;1;6664121;6667624;3503;0;0;1
"103";3;38;4;23;1;6675420;6677956;2536;0;0;1
"104";3;8;2;24;1;6684758;6687402;2644;1;1;1
"105";3;20;2;25;1;6701168;6703618;2450;1;1;1
"106";3;24;2;26;1;6726586;6729140;2554;0;0;1
"107";3;40;2;27;1;6733872;6736269;2397;0;0;1
"108";3;2;4;28;1;6742441;6744950;2509;1;1;1
"109";3;16;2;29;1;6766512;6769223;2711;1;1;1
"110";3;12;2;30;1;6804101;6806602;2501;1;1;1
"111";3;26;4;31;1;6812478;6815943;3465;0;1;0
"112";3;34;4;32;1;6829953;6832235;2282;0;0;1
"113";3;18;4;33;1;6861024;6863383;2359;1;1;1
"114";3;6;4;34;1;6875816;6877897;2081;1;1;1
"115";3;4;2;35;1;6882100;6884382;2282;1;1;1
"116";3;28;2;36;1;6890968;6893656;2688;0;0;1
"117";3;22;4;37;1;6899512;6902156;2644;0;0;1
"118";3;30;4;38;1;6951186;6953653;2467;0;0;1
"119";3;32;2;39;1;6980549;6983245;2696;0;0;1
"120";3;14;4;40;1;6991624;6993942;2318;1;1;1
"121";4;9;4;1;1;9414345;9416970;2625;1;1;1
"122";4;35;2;2;1;9431833;9434511;2678;0;0;1
"123";4;37;4;3;1;9443078;9445494;2416;0;0;1
"124";4;7;2;4;1;9452904;9455601;2697;1;1;1
"125";4;19;2;5;1;9472206;9474876;2670;1;1;1
"126";4;23;2;6;1;9505159;9507617;2458;0;0;1
"127";4;39;2;7;1;9515438;9518200;2762;0;0;1
"128";4;1;4;8;1;9529805;9534058;4253;1;1;1
"129";4;15;2;9;1;9559601;9562548;2947;1;1;1
"130";4;11;2;10;1;9616708;9619554;2846;1;1;1
"131";4;25;4;11;1;9630517;9633204;2687;0;0;1
"132";4;33;4;12;1;9648304;9651178;2874;0;0;1
"133";4;17;4;13;1;9696909;9699375;2466;1;1;1
"134";4;5;4;14;1;9724975;9727617;2642;1;1;1
"135";4;3;2;15;1;9735914;9738517;2603;1;1;1
"136";4;27;2;16;1;9748288;9751383;3095;0;0;1
"137";4;21;4;17;1;9760791;9763415;2624;0;0;1
"138";4;29;4;18;1;9823733;9826189;2456;0;0;1
"139";4;31;2;19;1;10019671;10021918;2247;0;0;1
"140";4;13;4;20;1;10031097;10033441;2344;1;1;1
"141";4;12;3;21;1;10100829;10103615;2786;1;1;1
"142";4;6;1;22;1;10112628;10115482;2854;1;1;1
"143";4;32;3;23;1;10126239;10128555;2316;0;0;1
"144";4;22;1;24;1;10137292;10140572;3280;0;0;1
"145";4;14;1;25;1;10177971;10180186;2215;1;1;1
"146";4;34;1;26;1;10236469;10239126;2657;0;0;1
"147";4;28;3;27;1;10274043;10276267;2224;0;0;1
"148";4;16;3;28;1;10297447;10300749;3302;1;1;1
"149";4;10;1;29;1;10312384;10314615;2231;1;1;1
"150";4;38;1;30;1;10498098;10500568;2470;0;0;1
"151";4;30;1;31;1;10522427;10525194;2767;0;0;1
"152";4;2;1;32;1;10570622;10573442;2820;1;1;1
"153";4;4;3;33;1;10606971;10609714;2743;1;1;1
"154";4;8;3;34;1;10619792;10622439;2647;1;1;1
"155";4;36;3;35;1;10632924;10635647;2723;0;0;1
"156";4;26;1;36;1;10661953;10664604;2651;0;0;1
"157";4;18;1;37;1;10674755;10677291;2536;1;1;1
"158";4;40;3;38;1;10686047;10688129;2082;0;0;1
"159";4;20;3;39;1;10700655;10702812;2157;1;1;1
"160";4;24;3;40;1;10716628;10718728;2100;0;0;1
"161";5;33;1;1;1;13630840;13633576;2736;0;0;1
"162";5;25;1;2;1;13666592;13669558;2966;0;0;1
"163";5;11;3;3;1;13679152;13682083;2931;1;1;1
"164";5;29;1;4;1;13701423;13703940;2517;0;0;1
"165";5;17;1;5;1;13748724;13751430;2706;1;1;1
"166";5;13;1;6;1;13777970;13780704;2734;1;1;1
"167";5;1;1;7;1;13812534;13817311;4777;1;1;1
"168";5;27;3;8;1;13884871;13888158;3287;0;0;1
"169";5;9;1;9;1;13895192;13898382;3190;1;1;1
"170";5;21;1;10;1;13938099;13940982;2883;0;0;1
"171";5;3;3;11;1;13973945;13976989;3044;1;1;1
"172";5;5;1;12;1;13984842;13988072;3230;1;1;1
"173";5;7;3;13;1;13996895;14000080;3185;1;1;1
"174";5;35;3;14;1;14008674;14011471;2797;0;0;1
"175";5;37;1;15;1;14027893;14031062;3169;0;0;1
"176";5;19;3;16;1;14039047;14041153;2106;1;1;1
"177";5;39;3;17;1;14062490;14065561;3071;0;0;1
"178";5;15;3;18;1;14105658;14108467;2809;1;1;1
"179";5;31;3;19;1;14226114;14228730;2616;0;0;1
"180";5;23;3;20;1;14237787;14240153;2366;0;0;1
"181";5;36;4;21;1;14253498;14256520;3022;0;0;1
"182";5;38;2;22;1;14261688;14264036;2348;0;0;1
"183";5;28;4;23;1;14276300;14278670;2370;0;0;1
"184";5;18;2;24;1;14293091;14296269;3178;1;1;1
"185";5;8;4;25;1;14305117;14307777;2660;1;1;1
"186";5;20;4;26;1;14316035;14319110;3075;1;1;1
"187";5;40;4;27;1;14326023;14328076;2053;0;0;1
"188";5;30;2;28;1;14351165;14353549;2384;0;0;1
"189";5;14;2;29;1;14360451;14362567;2116;1;1;1
"190";5;2;2;30;1;14391317;14394699;3382;1;1;1
"191";5;32;4;31;1;14407902;14410215;2313;0;0;1
"192";5;6;2;32;1;14423170;14427182;4012;1;1;1
"193";5;12;4;33;1;14445437;14447772;2335;1;1;1
"194";5;16;4;34;1;14455055;14457754;2699;1;1;1
"195";5;26;2;35;1;14545231;14548252;3021;0;0;1
"196";5;10;2;36;1;14637637;14640507;2870;1;1;1
"197";5;34;2;37;1;14679177;14681973;2796;0;0;1
"198";5;4;4;38;1;14689150;14691197;2047;1;1;1
"199";5;22;2;39;1;14722872;14725613;2741;0;0;1
"200";5;24;4;40;1;14734579;14737004;2425;0;0;1
"201";6;9;2;1;1;16574361;16577042;2681;1;1;1
"202";6;35;4;2;1;16591171;16594066;2895;0;0;1
"203";6;37;2;3;1;16600902;16603582;2680;0;0;1
"204";6;7;4;4;1;16611300;16614714;3414;1;1;1
"205";6;19;4;5;1;16629033;16632165;3132;1;1;1
"206";6;23;4;6;1;16696700;16699212;2512;0;0;1
"207";6;39;4;7;1;16708521;16711194;2673;0;0;1
"208";6;1;2;8;1;16719594;16722802;3208;1;1;1
"209";6;15;4;9;1;16743465;16747126;3661;1;1;1
"210";6;11;4;10;1;16798034;16800967;2933;1;1;1
"211";6;25;2;11;1;16812468;16815241;2773;0;0;1
"212";6;33;2;12;1;16830926;16833356;2430;0;0;1
"213";6;17;2;13;1;16934274;16936782;2508;1;1;1
"214";6;5;2;14;1;16949749;16952888;3139;1;1;1
"215";6;3;4;15;1;16960034;16963438;3404;1;1;1
"216";6;27;4;16;1;16971346;16973712;2366;0;0;1
"217";6;21;2;17;1;16980701;16984237;3536;0;0;1
"218";6;29;2;18;1;17032412;17034919;2507;0;0;1
"219";6;31;4;19;1;17104403;17107424;3021;0;0;1
"220";6;13;2;20;1;17128661;17131223;2562;1;1;1
"221";6;12;1;21;1;17292863;17295612;2749;1;1;1
"222";6;6;3;22;1;17310505;17313202;2697;1;1;1
"223";6;32;1;23;1;17322187;17325019;2832;0;0;1
"224";6;22;3;24;1;17335527;17338660;3133;0;0;1
"225";6;14;3;25;1;17377075;17379651;2576;1;1;1
"226";6;34;3;26;1;17419655;17422698;3043;0;0;1
"227";6;28;1;27;1;17449918;17453131;3213;0;0;1
"228";6;16;1;28;1;17475043;17478021;2978;1;1;1
"229";6;10;3;29;1;17489024;17491805;2781;1;1;1
"230";6;38;3;30;1;17612671;17615375;2704;0;0;1
"231";6;30;3;31;1;17634286;17636974;2688;0;0;1
"232";6;2;3;32;1;17649460;17652956;3496;1;1;1
"233";6;4;1;33;1;17681953;17684439;2486;1;1;1
"234";6;8;1;34;1;17692529;17695023;2494;1;1;1
