"","sub","item","cond","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","line","word","char_trial","char_line","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line","regress","wordID","land_pos","sacc_len","outsideText","max_char_line","Rtn_sweep","Rtn_sweep_type","LandStartLet","LandStartVA","undersweep_prob","launchDistLet","launchDistVA","launchSite","launchSiteVA"
"11114",6,29,2,45,17030161,17030362,239.2,580.9,5,201,49,2,7,44,3,37,11,778.9,370.9,537.2,41,0,"because",3,34,0,68,1,"accurate",3,0.964866257335153,0,34,13.2841407929536,4,1.89773439899338
"11129",6,69,2,46,17040311,17040532,203,600.8,8,221,64,2,10,41,1,35,10,757.6,345.1,553.2,40,0,"after",1,34,0,63,1,"accurate",1,0.0738418054083025,0,34,13.6508884264815,5,2.02818825521471
"11144",6,49,2,47,17048332,17048611,212.3,594.4,6,279,49,2,9,42,1,35,8,759.4,325.5,545.1,41,0,"for",1,34,0,45,1,"accurate",1,0.302751402174041,0,34,13.4662839129608,6,2.37770613414734
"11155",6,89,2,48,17091090,17091323,222.5,620.2,6,233,52,2,9,42,2,35,13,747.1,405.9,547.8,40,0,"the",2,33,0,39,1,"accurate",2,0.553813540562269,0,33,12.9124703723985,5,2.28663457414377
"11169",6,31,4,49,17102108,17102296,265.6,604.9,10,188,71,2,15,71,5,59,1,1132.9,212,519.2,66,0,"was",2,54,0,69,1,"undersweep",5,1.61467414492822,1,54,21.3476659435403,7,3.02997541525401
"11185",6,13,2,51,17127385,17127583,230.9,597.1,7,198,46,2,8,43,2,32,NA,708.3,197.5,535.7,41,0,"as",2,30,0,46,1,"undersweep",2,0.760570595705516,1,30,11.7506926339745,9,3.6354782196021
"11197",6,64,1,52,17136801,17136954,198.5,549,8,153,52,2,NA,NA,NA,47,NA,761.4,151.6,526.8,53,NA,NA,NA,NA,1,66,1,"undersweep",NA,-0.0369209027041513,1,NA,13.8551840881112,6,1.83619956115312
"11217",6,80,1,53,17147071,17147209,188.9,561.3,11,138,48,2,NA,NA,NA,45,NA,733.2,149.2,529.7,54,NA,NA,NA,NA,1,57,1,"undersweep",NA,-0.273214680010719,1,NA,13.3973648945797,9,2.82567975362438
"11232",6,44,1,54,17157930,17158112,145.2,558.5,9,182,51,2,NA,NA,NA,45,NA,730.2,124.9,534.4,53,NA,NA,NA,NA,1,37,1,"undersweep",NA,-1.34884364545833,1,NA,14.399152054619,8,2.60415433739947
"11249",6,68,1,56,17266709,17267028,258.4,582.1,10,319,53,2,13,59,5,51,22,799.8,455,547,54,0,"is",0,46,0,46,1,"accurate",5,1.43745381194829,0,46,13.325984482685,3,1.18639167356006
"11263",6,70,3,57,17280288,17280640,230.4,593.8,11,352,76,2,16,91,3,85,NA,1211.5,179.5,536.7,88,0,"than",3,82,0,62,1,"undersweep",3,0.748263628137466,1,82,24.1487317620285,3,1.09532011355649
"11284",6,12,1,58,17291337,17291481,200.1,566.4,12,144,50,2,13,56,1,47,NA,752.5,187.4,546.4,55,0,"move",1,46,0,46,1,"undersweep",1,0.00246139351360995,1,46,13.5967377691821,8,2.64599802713084
