"","sub","item","cond","seq","SFIX","EFIX","xPos","yPos","fix_num","fix_dur","sacc_dur","sent","line","word","char_trial","char_line","regress","wordID","land_pos","sacc_len","blink","prev_blink","after_blink","outOfBnds","outsideText","time_since_start","max_char_line","Rtn_sweep","Rtn_sweep_type","prev_RS","next_RS","prevChar","nextChar","prevX","nextX","prevY","prev_max_char_line"
"65347",50,71,4,17,1232861,1232925,285.4,705.2,6,64,1848,1,2,13,72,6,0,"had",2,40,0,1,1,0,0,4831,44,1,"accurate",0,0,46,33,931.9,717.2,614.5,66
"153476",51,5,3,8,2638974,2639014,436.1,627.9,15,40,76,1,2,20,108,20,0,"tallest",2,NA,0,0,0,0,0,4661,47,1,"undersweep",0,0,NA,13,1271.7,347.3,542.7,88
"143854",51,74,4,91,3510519,3510551,358.4,586.2,14,32,75,1,2,13,76,10,0,"round",4,52,0,0,0,0,0,3357,54,1,"undersweep",0,0,62,6,1180.6,279.9,543.9,66
"163449",55,5,3,7,6150910,6150987,254.8,590,16,77,114,1,2,16,93,5,0,"where",5,82,0,1,0,0,0,4240,47,1,"undersweep",0,0,87,1,1242.2,205.8,537.5,88
"144215",56,97,4,1,716747,716823,321.7,648.9,14,76,71,1,2,15,75,8,0,"quickly",0,58,0,0,0,0,0,4392,47,1,"undersweep",0,0,66,2,1245.1,216.9,550.7,67
"105865",56,73,4,40,1092378,1092441,367,633.5,10,63,66,1,2,14,77,11,0,"were",0,NA,0,0,0,0,0,2953,62,1,"undersweep",0,0,NA,5,1271.7,268.6,556.3,66
"105873",56,89,4,48,1162693,1162758,409.6,622.7,10,65,65,1,2,15,81,14,0,"overlooking",4,NA,0,0,0,0,0,4737,39,1,"undersweep",0,0,NA,4,1289.5,252.7,551.5,67
"182862",56,13,4,50,1187199,1187275,376.5,642.1,18,76,68,2,2,16,79,12,0,"watched",6,48,0,0,0,0,0,5003,46,1,"undersweep",0,0,60,4,1157.6,255.8,550.3,67
"163573",56,12,3,56,1255999,1256070,341.3,609.3,16,71,64,1,2,20,99,12,0,"indoors",7,74,0,0,0,0,0,5313,46,1,"undersweep",0,0,86,2,1230.1,215.9,546.1,87
"331112",56,76,3,64,1345040,1345102,373.2,616.3,33,62,69,2,2,6,103,15,0,"was",3,73,0,0,0,0,0,9099,36,1,"undersweep",0,0,88,4,1250.8,237.2,544.8,88
"76101",57,12,4,75,3560596,3560674,449.5,613.7,7,78,65,1,2,17,81,16,0,"quickly",3,41,0,0,0,0,0,2281,46,1,"undersweep",0,0,57,1,1099.7,215.1,560.6,65
"173422",60,10,1,73,4426620,4426680,433.9,627.9,17,60,53,1,2,14,75,20,0,"Massachusetts",11,31,0,0,0,0,0,5558,45,1,"undersweep",0,0,51,1,801.1,204.2,555.2,55
"173491",61,24,4,64,3056249,3056297,286.7,581.3,17,48,73,1,2,14,71,6,0,"disappointed",1,56,0,0,0,0,0,6038,71,1,"undersweep",0,0,62,4,1191.1,261.6,512.1,65
"106634",64,71,2,17,1775852,1775911,277.2,655.9,10,59,46,1,2,10,46,5,0,"had",1,27,0,0,0,0,0,3412,44,1,"undersweep",0,0,32,3,710.4,234.5,556.4,41
