"","Estimate","Std. Error","t value"
"(Intercept)",7.496,0.051,145.985
"font_size1",-0.06,0.019,-3.17
"line_lenlong line",4.983,0.022,227.062
"Rtn_sweep1",4.635,0.016,292.643
"font_size1:line_lenlong line",-0.004,0.022,-0.179
"font_size1:Rtn_sweep1",-0.338,0.016,-21.336
"line_lenlong line:Rtn_sweep1",4.792,0.022,218.44
"font_size1:line_lenlong line:Rtn_sweep1",-0.012,0.022,-0.553
