"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.643,0.149,4.329,0
"font_size1",-0.189,0.032,-5.934,0
"line_len1",0.751,0.057,13.211,0
"launchSiteVA_C",-0.295,0.036,-8.111,0
"font_size1:line_len1",-0.042,0.032,-1.327,0.185
"font_size1:launchSiteVA_C",0.013,0.034,0.396,0.692
"line_len1:launchSiteVA_C",0,0.035,-0.007,0.995
"font_size1:line_len1:launchSiteVA_C",0.011,0.034,0.316,0.752
